-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  36.7286   Longitude 68.8681 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 575.09 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
36.72861,68.86811,1989,03,14,    0.22,   16.45,    3.52,    9.66
36.72861,68.86811,1989,03,15,    0.10,   22.56,    5.50,   13.74
36.72861,68.86811,1989,03,16,    0.04,   26.86,    9.46,   17.25
36.72861,68.86811,1989,03,17,    2.85,   18.64,   10.13,   13.72
36.72861,68.86811,1989,03,18,    3.60,   17.80,   10.03,   13.07
36.72861,68.86811,1989,03,19,    0.05,   17.79,    9.10,   12.63
36.72861,68.86811,1989,03,20,    1.26,   14.49,    4.56,    8.82
36.72861,68.86811,1989,03,21,    0.02,   19.18,    5.38,   12.01
36.72861,68.86811,1989,03,22,    5.23,   13.46,    6.63,    9.54
36.72861,68.86811,1989,03,23,    0.12,   15.83,    5.58,   10.25
36.72861,68.86811,1989,03,24,    0.24,   19.08,    4.65,   11.83
36.72861,68.86811,1989,03,25,    0.01,   21.63,    6.21,   13.70
36.72861,68.86811,1989,03,26,    0.42,   24.88,    9.33,   16.36
36.72861,68.86811,1989,03,27,    0.10,   27.68,    9.76,   18.36
36.72861,68.86811,1989,03,28,    0.18,   28.09,   10.90,   19.19
36.72861,68.86811,1989,03,29,    0.97,   22.46,   13.07,   17.00
36.72861,68.86811,1989,03,30,    0.57,   26.31,   11.06,   17.75
36.72861,68.86811,1989,03,31,    7.82,   14.52,    3.88,    9.05
36.72861,68.86811,1989,04,01,    0.26,   16.21,    1.90,    8.89
36.72861,68.86811,1989,04,02,    0.08,   19.05,    4.86,   11.57
36.72861,68.86811,1989,04,03,    0.22,   13.91,    5.52,    8.92
36.72861,68.86811,1989,04,04,    0.00,   17.79,    4.42,   10.98
36.72861,68.86811,1989,04,05,    0.00,   22.08,    6.26,   14.01
36.72861,68.86811,1989,04,06,    0.01,   24.24,    7.77,   15.97
36.72861,68.86811,1989,04,07,    0.71,   22.95,   10.90,   16.37
36.72861,68.86811,1989,04,08,    2.35,   22.57,    9.07,   15.42
36.72861,68.86811,1989,04,09,    1.17,   18.30,    7.76,   12.42
36.72861,68.86811,1989,04,10,    0.00,   20.53,    6.15,   13.54
36.72861,68.86811,1989,04,11,    4.46,   21.85,    7.99,   14.81
36.72861,68.86811,1989,04,12,    0.19,   22.15,    7.25,   14.57
36.72861,68.86811,1989,04,13,    0.00,   24.83,    9.20,   16.87
36.72861,68.86811,1989,04,14,    0.00,   28.68,   11.97,   20.07
36.72861,68.86811,1989,04,15,    0.08,   30.52,   12.48,   21.63
36.72861,68.86811,1989,04,16,    0.90,   26.64,   13.69,   18.71
36.72861,68.86811,1989,04,17,    1.65,   26.68,   12.55,   19.29
36.72861,68.86811,1989,04,18,    0.02,   23.88,   10.70,   16.94
36.72861,68.86811,1989,04,19,    0.10,   25.73,    8.96,   17.45
36.72861,68.86811,1989,04,20,    0.00,   28.05,   11.61,   19.80
36.72861,68.86811,1989,04,21,    0.01,   25.23,   13.89,   19.02
36.72861,68.86811,1989,04,22,    0.00,   25.80,   11.02,   18.63
36.72861,68.86811,1989,04,23,    0.01,   26.99,   12.65,   19.82
36.72861,68.86811,1989,04,24,    0.08,   25.15,   13.06,   18.09
36.72861,68.86811,1989,04,25,    0.00,   27.06,    9.58,   18.78
36.72861,68.86811,1989,04,26,    0.00,   27.53,   11.31,   20.06
36.72861,68.86811,1989,04,27,    0.00,   28.79,   12.73,   21.12
36.72861,68.86811,1989,04,28,    0.00,   29.37,   14.44,   21.83
36.72861,68.86811,1989,04,29,    0.00,   30.28,   12.35,   22.09
36.72861,68.86811,1989,04,30,    0.79,   19.12,    8.97,   15.24
36.72861,68.86811,1989,05,01,    0.80,   13.34,    4.25,    8.71
36.72861,68.86811,1989,05,02,    0.26,   15.38,    1.03,    8.79
36.72861,68.86811,1989,05,03,    1.85,   11.26,    4.69,    8.01
36.72861,68.86811,1989,05,04,    1.99,   12.54,    3.89,    7.43
36.72861,68.86811,1989,05,05,    0.68,   11.31,    4.74,    7.41
36.72861,68.86811,1989,05,06,    0.02,   21.02,    4.66,   12.33
36.72861,68.86811,1989,05,07,    0.00,   29.31,    8.57,   19.28
36.72861,68.86811,1989,05,08,    0.74,   30.36,   13.73,   21.47
36.72861,68.86811,1989,05,09,    6.41,   22.53,   15.12,   18.00
36.72861,68.86811,1989,05,10,    0.00,   25.88,   12.10,   19.35
