-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1989 through 12/31/2019 
Location: Latitude  34.5553   Longitude 69.2075 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 2381.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MAX,T2M_MIN,T2M
34.55531,69.20751,1989,03,12,    0.01,   10.70,    0.23,    4.43
34.55531,69.20751,1989,03,13,    5.31,    6.45,   -0.25,    2.47
34.55531,69.20751,1989,03,14,    0.55,   11.48,   -2.28,    4.02
34.55531,69.20751,1989,03,15,    0.12,    9.64,   -0.42,    4.39
34.55531,69.20751,1989,03,16,    1.15,   12.99,    0.51,    6.28
34.55531,69.20751,1989,03,17,    2.13,    6.20,    0.82,    2.80
34.55531,69.20751,1989,03,18,    1.17,   11.99,   -1.01,    5.54
34.55531,69.20751,1989,03,19,    1.98,    9.08,    1.18,    4.39
34.55531,69.20751,1989,03,20,    1.53,   12.36,   -0.48,    5.29
34.55531,69.20751,1989,03,21,    0.12,    7.77,    0.44,    3.16
34.55531,69.20751,1989,03,22,    5.04,    9.23,   -1.13,    3.48
34.55531,69.20751,1989,03,23,    3.26,    7.41,   -3.93,    1.36
34.55531,69.20751,1989,03,24,    0.82,   11.06,   -3.14,    3.31
34.55531,69.20751,1989,03,25,    0.06,   10.68,   -1.40,    4.10
34.55531,69.20751,1989,03,26,    2.52,    9.74,    0.23,    4.27
34.55531,69.20751,1989,03,27,    2.24,   10.17,    0.50,    4.75
34.55531,69.20751,1989,03,28,    0.45,   13.94,    0.21,    6.51
34.55531,69.20751,1989,03,29,    0.64,   10.18,    1.80,    4.41
34.55531,69.20751,1989,03,30,    1.12,   11.29,    0.62,    5.59
34.55531,69.20751,1989,03,31,   18.83,   10.37,   -2.89,    4.91
34.55531,69.20751,1989,04,01,    0.45,    9.27,   -6.74,    0.86
34.55531,69.20751,1989,04,02,    0.97,   11.32,   -4.61,    2.62
34.55531,69.20751,1989,04,03,    0.05,    6.05,   -4.46,    0.09
34.55531,69.20751,1989,04,04,    0.00,    8.75,   -4.05,    1.01
34.55531,69.20751,1989,04,05,    0.00,   12.83,   -5.05,    3.63
34.55531,69.20751,1989,04,06,    0.55,   15.21,   -0.85,    7.00
34.55531,69.20751,1989,04,07,    0.15,   10.66,    2.16,    6.27
34.55531,69.20751,1989,04,08,    1.13,    9.95,    0.67,    5.26
34.55531,69.20751,1989,04,09,    2.42,   10.31,   -2.69,    3.08
34.55531,69.20751,1989,04,10,    0.06,   13.84,   -4.48,    3.88
34.55531,69.20751,1989,04,11,    6.88,   11.92,   -2.92,    3.64
34.55531,69.20751,1989,04,12,    1.45,   12.28,   -4.89,    3.04
34.55531,69.20751,1989,04,13,    0.00,   17.44,   -1.98,    7.97
34.55531,69.20751,1989,04,14,    0.00,   17.51,    4.52,   10.19
34.55531,69.20751,1989,04,15,    0.03,   16.27,    2.69,    9.70
34.55531,69.20751,1989,04,16,    0.05,   16.55,    2.30,    9.16
34.55531,69.20751,1989,04,17,    0.08,   15.78,    0.51,    7.98
34.55531,69.20751,1989,04,18,    0.02,   15.42,   -0.62,    6.76
34.55531,69.20751,1989,04,19,    0.00,   19.09,   -2.53,    8.45
34.55531,69.20751,1989,04,20,    0.00,   19.06,    1.57,   10.09
34.55531,69.20751,1989,04,21,    0.58,   17.95,    3.35,   10.17
34.55531,69.20751,1989,04,22,    0.01,   18.36,    0.36,    8.86
34.55531,69.20751,1989,04,23,    1.34,   15.58,    2.00,    9.15
34.55531,69.20751,1989,04,24,    5.23,   13.00,    2.62,    7.37
34.55531,69.20751,1989,04,25,    0.00,   16.64,   -1.51,    7.22
34.55531,69.20751,1989,04,26,    0.02,   18.29,   -0.70,    8.65
34.55531,69.20751,1989,04,27,    0.00,   17.81,    0.56,    8.74
34.55531,69.20751,1989,04,28,    0.00,   19.55,   -0.49,    9.28
34.55531,69.20751,1989,04,29,    0.00,   21.53,    0.74,   11.75
34.55531,69.20751,1989,04,30,    0.21,   16.32,    3.54,   10.24
34.55531,69.20751,1989,05,01,    9.77,   10.67,   -5.18,    3.17
34.55531,69.20751,1989,05,02,    5.19,   13.88,   -6.67,    3.53
34.55531,69.20751,1989,05,03,    0.75,   13.82,   -2.43,    5.69
34.55531,69.20751,1989,05,04,    0.30,   14.75,   -1.30,    6.73
34.55531,69.20751,1989,05,05,    0.45,   15.22,    0.63,    7.00
34.55531,69.20751,1989,05,06,    0.32,   12.48,   -0.19,    6.01
34.55531,69.20751,1989,05,07,    0.00,   18.45,    0.94,    9.95
34.55531,69.20751,1989,05,08,    0.00,   20.64,    4.38,   12.09
34.55531,69.20751,1989,05,09,    0.77,   20.30,    6.30,   12.04
34.55531,69.20751,1989,05,10,    0.11,   19.20,    2.14,   10.11
34.55531,69.20751,1989,05,11,    0.02,   21.32,    1.24,   11.76
34.55531,69.20751,1989,05,12,    0.01,   22.24,    3.52,   12.81
34.55531,69.20751,1989,05,13,    0.00,   23.63,    3.54,   13.29
34.55531,69.20751,1989,05,14,    0.00,   21.21,    4.62,   12.46
34.55531,69.20751,1989,05,15,    0.05,   23.92,    4.32,   14.11
34.55531,69.20751,1989,05,16,    0.00,   20.53,    5.75,   13.42
34.55531,69.20751,1989,05,17,    0.15,   23.34,    5.63,   14.53
34.55531,69.20751,1989,05,18,    2.61,   22.23,    5.29,   13.22
34.55531,69.20751,1989,05,19,    0.42,   25.70,    3.33,   14.95
34.55531,69.20751,1989,05,20,    0.00,   24.33,    5.81,   14.76
34.55531,69.20751,1989,05,21,    0.00,   22.10,    6.48,   13.49
34.55531,69.20751,1989,05,22,    0.00,   19.92,    5.82,   11.95
34.55531,69.20751,1989,05,23,    0.00,   18.21,    4.52,   10.51
34.55531,69.20751,1989,05,24,    0.00,   21.93,    3.52,   11.80
34.55531,69.20751,1989,05,25,    0.00,   22.50,    3.09,   12.42
34.55531,69.20751,1989,05,26,    0.00,   24.04,    4.87,   14.02
34.55531,69.20751,1989,05,27,    0.00,   25.60,    4.87,   15.35
34.55531,69.20751,1989,05,28,    0.00,   25.59,    7.69,   16.53
34.55531,69.20751,1989,05,29,    0.00,   26.28,    9.57,   17.51
34.55531,69.20751,1989,05,30,    0.00,   26.97,    8.91,   17.80
34.55531,69.20751,1989,05,31,    0.00,   28.48,    7.67,   18.61
34.55531,69.20751,1989,06,01,    0.00,   30.22,   10.12,   20.80
34.55531,69.20751,1989,06,02,    0.00,   30.64,   14.21,   21.65
34.55531,69.20751,1989,06,03,    0.00,   28.06,   11.00,   19.16
34.55531,69.20751,1989,06,04,    0.00,   26.39,    8.77,   17.15
34.55531,69.20751,1989,06,05,    0.04,   24.70,    7.49,   16.14
34.55531,69.20751,1989,06,06,    0.05,   23.58,    6.48,   15.07
34.55531,69.20751,1989,06,07,    0.00,   24.07,    6.10,   15.02
34.55531,69.20751,1989,06,08,    9.40,   23.53,   10.40,   16.45
